DIRECTORIO SECUENCIA_ENCUESTA SECUENCIA_P ORDEN DEPMUNI P5747 P5752 P5752S1 P5090 FEX_C
94353 1 1 1 08001 1 1 2 1 105.851792224359
94355 1 1 1 08001 2 1 3 2 106.328522566158
94357 1 1 1 08001 1 1 1 1 106.262676266637
94359 1 1 1 08001 2 1 3 1 123.369631475667
94361 1 1 1 08001 1 1 1 1 124.435065905222
94363 1 1 1 08001 2 1 3 1 87.145264785945
94365 1 1 1 08001 2 1 3 2 116.046457376368
94367 1 1 1 08001 2 1 1 1 117.111891805922
94369 1 1 1 08001 2 1 3 1 112.005315833697
94371 1 1 1 08001 2 1 1 2 114.202094682349
94373 1 1 1 08001 2 1 3 1 130.641897699055
94375 1 1 1 08001 1 1 2 1 114.108708154171
94377 1 1 1 08001 2 1 2 1 131.750878281663
94379 1 1 1 08001 2 1 3 1 124.922878079624
94381 1 1 1 08001 1 1 3 1 93.3250278715888
94383 1 1 1 08001 2 1 1 2 108.436701444319
94385 1 1 1 08001 1 1 3 1 117.313122147575
94387 1 1 1 08001 1 1 2 1 127.057459689513
94389 1 1 1 08001 1 1 1 1 357.895412386446
94391 1 1 1 08001 2 1 2 1 108.436701444319
94393 1 1 1 08001 1 1 2 1 85.1599161380377
94395 1 1 1 08001 1 1 1 2 364.240561151992
94397 1 1 1 08001 1 1 1 1 345.283406016134
94399 1 1 1 08001 1 1 2 3 93.3585743368336
94401 1 1 1 08001 2 1 3 1 116.080229189918
94403 1 1 1 08001 1 1 1 1 104.709429662681
94405 1 1 1 08001 1 1 1 1 345.283406016134
94407 1 1 1 08001 1 1 2 1 114.833849385694
94409 1 1 1 08001 1 1 1 1 294.021102411323
94411 1 1 1 08001 2 1 3 3 119.298470795482
94413 1 1 1 08001 1 1 2 2 126.683052314235
94415 1 1 1 08001 1 1 3 1 108.436701444319
94417 1 1 1 08001 2 1 3 1 117.111891805922
94419 1 1 1 08001 2 1 3 1 121.784310385741
94421 1 1 1 08001 1 1 3 1 119.954289981355
94423 1 1 1 08001 2 1 3 1 103.312785102529
94425 1 1 1 08001 2 1 2 1 104.232699320882
94427 1 1 1 08001 2 1 3 1 96.386667433348
94429 1 1 1 08001 2 1 1 2 104.338639660938
94431 1 1 1 08001 1 1 3 1 118.840741448617
94433 1 1 1 08001 1 1 3 3 115.140370770175
94435 1 1 1 08001 2 1 3 1 113.587124166219
94437 1 1 1 08001 2 1 3 1 114.108708154171
94439 1 1 1 08001 1 1 3 1 106.262676266637
94441 1 1 1 08001 2 1 3 1 114.168322868799
94443 1 1 1 08001 2 1 3 1 114.526982585962
94445 1 1 1 08001 2 1 2 1 104.709429662681
94447 1 1 1 08001 2 1 2 1 107.315556884314
94449 1 1 1 08001 2 1 3 2 108.86880348827
94451 1 1 1 08001 2 1 2 2 116.126131288049
94453 1 1 1 08001 2 1 3 1 115.233757298354
94455 1 1 1 08001 2 1 3 1 103.8868291408
94457 1 1 1 08001 2 1 1 1 115.048566573914
94459 1 1 1 08001 2 1 3 2 117.111891805922
94461 1 1 1 08001 1 1 2 1 106.328522566158
94463 1 1 1 08001 2 1 2 2 115.140370770175
94465 1 1 1 08001 1 1 3 1 125.988312509178
94467 1 1 1 08001 2 1 3 2 105.264361936886
94469 1 1 1 08001 2 1 3 1 107.248436784511
94471 1 1 1 08001 2 1 3 1 127.541559113134
94473 1 1 1 08001 2 1 2 2 87.1119164996917
94475 1 1 1 08001 2 1 3 1 106.566596768388
94477 1 1 1 08001 2 1 2 2 117.111891805922
94479 1 1 1 08001 1 1 3 1 127.882742968939
94481 1 1 1 08001 2 1 3 2 115.727801057648
94483 1 1 1 08001 2 1 3 2 115.094468672045
94485 1 1 1 08001 2 1 2 1 123.403403289218
94487 1 1 1 08001 2 1 2 1 129.841799426089
94489 1 1 1 08001 4 1 1 4 118.469951446874
94491 1 1 1 08001 2 1 3 2 110.04272085676
94493 1 1 1 08001 2 1 1 1 132.975064509545
94495 1 1 1 08001 1 1 1 2 109.630373503654
94497 1 1 1 08001 2 1 3 2 115.233757298354
94499 1 1 1 08001 1 1 1 2 128.475276241288
94501 1 1 1 08001 2 1 1 2 122.886301089107
94503 1 1 1 08001 1 1 3 3 124.922878079624
94505 1 1 1 08001 1 1 3 2 111.028481374634
94507 1 1 1 08001 2 1 3 1 98.0070341371076
94509 1 1 1 08001 1 1 3 1 124.435065905222
94511 1 1 1 08001 2 1 1 1 116.777986170805
94513 1 1 1 08001 2 1 3 1 111.75256950452
94515 1 1 1 08001 1 1 3 2 119.298470795482
94517 1 1 1 08001 1 1 1 1 105.546036763039
94519 1 1 1 08001 2 1 3 4 107.803369058716
94521 1 1 1 08001 1 1 3 1 113.495319969958
94523 1 1 1 08001 2 1 3 2 106.883454840363
94525 1 1 1 08001 2 1 3 1 106.771706442712
94527 1 1 1 08001 2 1 1 4 126.802549129335
94529 1 1 1 08001 1 1 2 1 105.330208236407
94531 1 1 1 08001 1 1 3 1 106.883454840363
94533 1 1 1 08001 2 1 1 1 115.140370770175
94535 1 1 1 08001 1 1 1 1 115.126543158015
94537 1 1 1 08001 2 1 3 1 104.820129608355
94539 1 1 1 08001 2 1 3 2 108.86880348827
94541 1 1 1 08001 2 1 3 1 77.8367420387384
94543 1 1 1 08001 2 1 3 1 96.9415997075533
94547 1 1 1 08001 2 1 2 1 88.6985113899011
94549 1 1 1 08001 2 1 1 1 114.062806056041
94551 1 1 1 08001 2 1 3 2 114.108708154171
94553 1 1 1 08001 1 1 1 1 137.574809115689
94555 1 1 1 08001 1 1 3 2 108.443572154673
94557 1 1 1 08001 2 1 1 2 114.062806056041
94559 1 1 1 08001 1 1 3 2 115.140370770175
94561 1 1 1 08001 2 1 3 2 98.0070341371076
94563 1 1 1 08001 2 1 1 1 110.04272085676
94565 1 1 1 08001 2 1 1 1 108.59859186656
94567 1 1 1 08001 2 1 3 2 115.048566573914
94571 1 1 1 08001 2 1 2 1 106.883454840363
94573 1 1 1 08001 2 1 2 2 116.126131288049
94575 1 1 1 08001 1 1 3 1 93.2927280373129
94577 1 1 1 08001 1 1 1 1 114.168322868799
94579 1 1 1 08001 1 1 2 1 106.25012245476
94581 1 1 1 08001 2 1 1 1 106.851380354393
94583 1 1 1 08001 1 1 1 1 123.449305387348
94585 1 1 1 08001 2 1 3 1 99.5602807410638
94587 1 1 1 08001 1 1 3 1 115.048566573914
94589 1 1 1 08001 1 1 1 1 116.126131288049
94591 1 1 1 08001 1 1 1 1 128.288552822133
94593 1 1 1 08001 2 1 3 1 92.8034438836368
94595 1 1 1 08001 1 1 3 1 127.531562874569
94597 1 1 1 08001 1 1 3 2 90.6281449056718
94599 1 1 1 08001 1 1 3 3 109.901734902871
94601 1 1 1 08001 1 1 3 1 135.438666481573
94603 1 1 1 08001 1 1 3 1 95.4667532149951
94605 1 1 1 08001 1 1 1 2 115.094468672045
